Season,Date,Home,Away,Team,By Rotation,MP,S Pts W,S Pts L,S W %,SR Pts W,SR Pts L,SO %,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2024-01-28,Crandall,Holland,Crandall,6,1,4,6,0.4,6,2,0.75,0,1,10,2,0.9,1,3,1,1,6,1.67,5,2,16,0.188,1,0,1,5,14,7,2,2,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,1,1,8,6,0.571,8,2,0.8,1,2,14,2.21,0.857,6,1,1,0,8,2.63,9,1,19,0.421,0,0,0,9,19,10,2,2,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,2,1,7,7,0.5,7,3,0.7,0,2,14,1.71,0.857,3,3,0,1,7,2.14,6,3,15,0.2,0,0,0,6,14,8,3,1,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,3,1,5,7,0.417,7,4,0.636,0,4,12,1.25,0.667,0,5,4,0,9,1.56,8,3,17,0.294,0,0,0,7,16,7,2,0,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,4,1,2,6,0.25,6,1,0.857,2,3,8,1.63,0.625,1,3,0,0,4,2.25,3,2,5,0.2,0,0,0,3,5,1,0,0,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,5,1,8,6,0.571,6,4,0.6,0,0,14,1.86,1,1,3,3,1,8,1.5,4,4,16,0,0,1,1,4,15,8,3,1,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,6,1,5,6,0.455,6,2,0.75,2,2,11,1.82,0.818,1,4,1,0,6,2,4,2,14,0.143,0,1,1,4,14,8,2,1,0,0
2023-2024,2024-02-02,USTA,Crandall,Crandall,1,1,3,8,0.273,8,2,0.8,2,2,11,1.91,0.818,3,2,1,0,6,2.33,4,1,7,0.429,0,1,1,4,6,4,3,0,0,1
2023-2024,2024-02-02,USTA,Crandall,Crandall,2,1,2,8,0.2,6,2,0.75,1,3,10,1.5,0.7,0,2,2,1,5,1.2,2,0,9,0.222,0,0,0,2,8,5,1,2,0,2
2023-2024,2024-02-02,USTA,Crandall,Crandall,3,1,2,6,0.25,6,5,0.545,1,0,8,1.75,1,2,6,0,0,8,2.25,3,4,11,-0.091,0,1,1,3,10,2,1,0,0,1
2023-2024,2024-02-02,USTA,Crandall,Crandall,4,1,2,6,0.25,6,10,0.375,1,2,8,1.75,0.75,6,4,1,3,14,1.93,5,2,15,0.2,0,0,0,5,14,2,1,3,0,1
2023-2024,2024-02-02,USTA,Crandall,Crandall,5,1,1,6,0.143,6,6,0.5,0,3,7,1,0.571,4,3,1,2,10,1.9,3,1,8,0.25,0,1,1,3,8,3,3,1,0,1
2023-2024,2024-02-02,USTA,Crandall,Crandall,6,1,3,6,0.333,5,4,0.556,2,2,9,2,0.778,0,2,3,0,5,1.4,2,1,7,0.143,0,1,1,2,7,5,3,1,0,1
2023-2024,2024-02-02,USTA,Crandall,USTA,1,1,4,5,0.444,8,3,0.727,0,4,9,1.44,0.556,3,2,2,2,9,1.67,6,1,15,0.333,0,1,1,6,15,4,1,3,0,0
2023-2024,2024-02-02,USTA,Crandall,USTA,2,1,2,8,0.2,8,2,0.8,0,4,10,1,0.6,2,3,1,1,7,1.86,6,0,7,0.857,0,0,0,6,7,0,0,2,0,1
2023-2024,2024-02-02,USTA,Crandall,USTA,3,1,2,6,0.25,6,2,0.75,1,3,8,1.75,0.625,5,1,1,1,8,2.25,5,1,13,0.308,0,0,0,5,13,8,4,2,0,1
2023-2024,2024-02-02,USTA,Crandall,USTA,4,1,5,6,0.455,6,2,0.75,0,3,11,1.27,0.727,1,3,1,1,6,1.67,5,0,7,0.714,0,1,1,5,7,3,1,0,0,0
