Season,Date,TEAM,ID,Oponnent ,By Set,MP,0,S Pts W,S Pts L,S W %,02,SR Pts W,SR Pts L,SO %,03,Ace,S Err,S Att,S Rtg,S %,04,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,05,Kill,A Err,Att,H %,06,B Solo,B Assist,B Total,07,Assist,A Att,08,Digs,09,Sent,Received,010,Violations,BHE
2023-2024,2024-02-02,USTA,vs.,Crandall,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-02,USTA,vs.,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-03,Crandall,@,USTA,1,1,0,2,12,0.143,0,11,13,0.458,0,0,5,14,1.14,0.643,0,5,9,3,2,19,1.89,0,3,6,16,-0.188,0,0,2,2,0,3,16,0,2,0,4,0,0,0,0
2023-2024,2024-02-03,Crandall,@,USTA,2,1,0,5,14,0.263,0,14,11,0.56,0,1,4,19,1.42,0.789,0,7,8,2,4,21,1.86,0,10,6,26,0.154,0,0,0,0,0,9,25,0,5,0,0,3,0,0,1
2023-2024,2024-02-03,Crandall,@,USTA,3,1,0,6,13,0.316,0,12,12,0.5,0,0,3,19,1.16,0.842,0,8,6,3,3,20,1.95,0,10,7,25,0.12,0,0,2,2,0,10,25,0,7,0,2,1,0,0,0
2023-2024,2024-02-03,Crandall,@,USTA,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-03,Crandall,@,USTA,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-03,USTA,vs.,Crandall,1,1,0,13,11,0.542,0,12,2,0.857,0,3,5,24,1.71,0.792,0,4,3,2,0,9,2.22,0,11,5,19,0.316,0,0,2,2,0,11,19,0,5,0,0,4,0,0,0
2023-2024,2024-02-03,USTA,vs.,Crandall,2,1,0,11,14,0.44,0,14,5,0.737,0,4,4,25,1.8,0.84,0,9,1,4,1,15,2.2,0,10,3,18,0.389,0,0,2,2,0,10,18,0,9,0,4,0,0,0,1
2023-2024,2024-02-03,USTA,vs.,Crandall,3,1,0,12,12,0.5,0,13,6,0.684,0,3,4,24,1.71,0.833,0,11,4,1,0,16,2.63,0,12,4,28,0.286,0,0,4,4,0,12,27,0,6,0,1,1,0,0,0
2023-2024,2024-02-03,USTA,vs.,Crandall,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-03,USTA,vs.,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-10,Crandall,vs.,Holland,1,1,0,4,9,0.308,0,9,16,0.36,0,0,4,13,1.38,0.692,0,2,15,2,3,22,1.73,0,5,10,22,-0.227,0,0,2,2,0,5,22,0,3,0,0,1,0,1,0
2023-2024,2024-02-10,Crandall,vs.,Holland,2,1,0,3,13,0.188,0,12,12,0.5,0,0,2,16,1.56,0.875,0,3,12,1,3,19,1.79,0,7,7,24,0,0,1,0,1,0,7,24,0,9,0,4,3,0,0,1
2023-2024,2024-02-10,Crandall,vs.,Holland,3,1,0,9,10,0.474,0,10,15,0.4,0,1,2,19,1.84,0.895,0,5,8,6,2,21,1.76,0,6,7,39,-0.026,0,1,3,4,0,6,38,0,16,0,5,3,0,0,1
2023-2024,2024-02-10,Crandall,vs.,Holland,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-10,Crandall,vs.,Holland,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-10,Holland,@,Crandall,1,1,0,16,9,0.64,0,9,4,0.692,0,3,3,25,2,0.88,0,2,5,2,0,9,2,0,7,2,15,0.333,0,1,2,3,0,7,15,0,7,0,2,0,0,0,2
2023-2024,2024-02-10,Holland,@,Crandall,2,1,0,12,12,0.5,0,13,3,0.813,0,3,5,24,1.75,0.792,0,3,11,0,0,14,2.21,0,12,3,26,0.346,0,1,1,2,0,12,26,0,9,0,3,4,0,0,0
2023-2024,2024-02-10,Holland,@,Crandall,3,1,0,15,10,0.6,0,10,9,0.526,0,2,4,25,1.88,0.84,0,5,7,4,1,17,1.94,0,13,7,39,0.154,0,0,0,0,0,12,35,0,20,0,5,2,0,0,0
2023-2024,2024-02-10,Holland,@,Crandall,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-10,Holland,@,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-11,Crandall,@,UNBSJ,1,1,0,13,14,0.481,0,14,11,0.56,0,2,2,27,1.93,0.926,0,6,5,5,2,18,1.83,0,9,8,31,0.032,0,2,0,2,0,9,29,0,14,0,4,1,0,0,0
2023-2024,2024-02-11,Crandall,@,UNBSJ,2,1,0,10,11,0.476,0,11,14,0.44,0,5,5,21,2,0.762,0,8,7,4,2,21,2,0,6,11,33,-0.152,0,1,0,1,0,6,33,0,11,0,4,3,0,0,0
2023-2024,2024-02-11,Crandall,@,UNBSJ,3,1,0,5,12,0.294,0,11,13,0.458,0,1,4,17,1.65,0.765,0,10,2,6,1,19,2.11,0,8,10,27,-0.074,0,0,1,1,0,7,26,0,11,0,5,0,0,0,1
2023-2024,2024-02-11,Crandall,@,UNBSJ,4,1,0,4,12,0.25,0,12,13,0.48,0,1,5,16,1.38,0.688,0,11,6,2,3,22,2.14,0,7,3,26,0.154,0,0,1,1,0,7,26,0,7,0,4,2,0,0,1
2023-2024,2024-02-11,Crandall,@,UNBSJ,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-11,UNBSJ,vs.,Crandall,1,1,0,11,14,0.44,0,14,13,0.519,0,2,7,25,1.56,0.72,0,10,5,8,2,25,1.92,0,13,7,35,0.171,0,0,2,2,0,13,33,0,10,0,2,4,0,0,2
2023-2024,2024-02-11,UNBSJ,vs.,Crandall,2,1,0,14,11,0.56,0,11,10,0.524,0,2,4,25,1.68,0.84,0,5,1,5,5,16,1.38,0,7,6,24,0.042,0,3,2,5,0,6,23,0,12,0,3,3,0,0,0
2023-2024,2024-02-11,UNBSJ,vs.,Crandall,3,1,0,13,11,0.542,0,12,5,0.706,0,1,5,24,1.5,0.792,0,4,4,4,1,13,1.85,0,8,2,21,0.286,0,0,2,2,0,8,21,0,6,0,0,3,0,0,0
2023-2024,2024-02-11,UNBSJ,vs.,Crandall,4,1,0,13,12,0.52,0,12,4,0.75,0,3,3,25,1.64,0.88,0,4,4,2,1,11,2,0,13,4,27,0.333,0,0,1,1,0,13,26,0,12,0,3,4,0,0,0
2023-2024,2024-02-11,UNBSJ,vs.,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-17,Crandall,vs.,USTA,1,1,0,10,18,0.357,0,17,11,0.607,0,3,7,28,1.57,0.75,0,6,8,3,2,19,1.95,0,7,7,28,0,0,1,2,3,0,6,27,0,12,0,5,2,0,0,1
2023-2024,2024-02-17,Crandall,vs.,USTA,2,1,0,5,14,0.263,0,14,12,0.538,0,2,4,19,1.74,0.789,0,6,5,5,5,21,1.57,0,8,5,21,0.143,0,0,1,1,0,7,19,0,5,0,2,1,0,0,1
2023-2024,2024-02-17,Crandall,vs.,USTA,3,1,0,8,13,0.381,0,12,12,0.5,0,2,6,21,1.52,0.714,0,8,10,3,1,22,2.14,0,10,2,39,0.205,0,0,0,0,0,10,38,0,16,0,3,2,0,1,0
2023-2024,2024-02-17,Crandall,vs.,USTA,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-17,Crandall,vs.,USTA,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-17,USTA,@,Crandall,1,1,0,11,17,0.393,0,18,10,0.643,0,2,9,28,1.39,0.679,0,8,6,4,3,21,1.9,0,12,8,34,0.118,0,1,1,2,0,12,32,0,12,0,3,3,0,0,0
2023-2024,2024-02-17,USTA,@,Crandall,2,1,0,12,14,0.462,0,14,5,0.737,0,5,5,26,1.96,0.808,0,4,6,3,2,15,1.8,0,11,4,21,0.333,0,0,0,0,0,10,20,0,8,0,3,1,0,0,0
2023-2024,2024-02-17,USTA,@,Crandall,3,1,0,12,12,0.5,0,13,8,0.619,0,1,2,24,1.71,0.917,0,5,5,3,2,15,1.87,0,15,5,38,0.263,0,0,0,0,0,15,38,0,24,0,3,3,0,0,1
2023-2024,2024-02-17,USTA,@,Crandall,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-02-17,USTA,@,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
