Season,Date,TEAM,ID,Oponnent ,By Set,MP,0,S Pts W,S Pts L,S W %,02,SR Pts W,SR Pts L,SO %,03,Ace,S Err,S Att,S Rtg,S %,04,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,05,Kill,A Err,Att,H %,06,B Solo,B Assist,B Total,07,Assist,A Att,08,Digs,09,Sent,Received,010,Violations,BHE
2023-2024,2023-11-24,Crandall,@,Holland,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-24,Holland,vs.,Crandall,1,1,0,15,10,0.6,0,10,3,0.769,0,2,4,25,1.48,0.84,0,0,8,0,1,9,1.78,0,11,3,20,0.4,0,0,0,0,0,11,20,0,11,0,0,2,0,0,1
2023-2024,2023-11-24,Holland,vs.,Crandall,2,1,0,11,12,0.478,0,12,13,0.48,0,4,2,23,2.26,0.913,0,8,7,4,4,23,1.83,0,11,7,26,0.154,0,0,1,1,0,10,25,0,5,0,4,3,0,0,1
2023-2024,2023-11-24,Holland,vs.,Crandall,3,1,0,12,13,0.48,0,13,5,0.722,0,1,5,25,1.4,0.8,0,11,2,3,2,18,2.22,0,14,4,32,0.313,0,1,2,3,0,13,29,0,12,0,6,2,0,0,0
2023-2024,2023-11-24,Holland,vs.,Crandall,4,1,0,9,15,0.375,0,16,7,0.696,0,1,5,24,1.5,0.792,0,9,6,4,1,20,2.15,0,12,5,47,0.149,0,0,2,2,0,11,42,0,17,0,5,5,0,0,0
2023-2024,2023-11-24,Holland,vs.,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-26,Crandall,vs.,UNBSJ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,vs.,UNBSJ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,vs.,UNBSJ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,vs.,UNBSJ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,vs.,UNBSJ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,UNBSJ,@,Crandall,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,UNBSJ,@,Crandall,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,UNBSJ,@,Crandall,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,UNBSJ,@,Crandall,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,UNBSJ,@,Crandall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-12-02,Crandall,@,Holland,1,1,0,3,9,0.25,0,8,16,0.333,0,0,3,12,1.17,0.75,0,11,6,0,4,21,2.14,0,5,4,25,0.04,0,4,0,4,0,5,24,0,8,0,2,1,0,0,0
2023-2024,2023-12-02,Crandall,@,Holland,2,1,0,5,10,0.333,0,9,15,0.375,0,3,6,15,1.6,0.6,0,12,4,4,2,22,2.18,0,3,9,26,-0.231,0,0,0,0,0,3,26,0,6,0,1,0,0,0,2
2023-2024,2023-12-02,Crandall,@,Holland,3,1,0,5,11,0.313,0,11,14,0.44,0,0,5,16,1.13,0.688,0,6,3,9,4,22,1.5,0,9,5,22,0.182,0,0,2,2,0,9,21,0,3,0,3,2,0,1,0
2023-2024,2023-12-02,Crandall,@,Holland,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-12-02,Crandall,@,Holland,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-12-02,Holland,vs.,Crandall,1,1,0,16,8,0.667,0,9,3,0.75,0,4,3,24,1.63,0.875,0,5,3,1,0,9,2.44,0,13,2,24,0.458,0,0,0,0,0,13,24,0,14,0,2,1,0,0,1
2023-2024,2023-12-02,Holland,vs.,Crandall,2,1,0,15,9,0.625,0,10,5,0.667,0,2,2,24,1.67,0.917,0,2,2,2,3,9,1.33,0,6,3,17,0.176,0,0,2,2,0,6,16,0,11,0,1,0,0,0,2
2023-2024,2023-12-02,Holland,vs.,Crandall,3,1,0,14,11,0.56,0,11,5,0.688,0,4,3,25,2.2,0.88,0,5,3,2,0,10,2.3,0,9,4,17,0.294,0,0,0,0,0,8,16,0,7,0,4,2,0,0,0
2023-2024,2023-12-02,Holland,vs.,Crandall,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-12-02,Holland,vs.,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-01-14,Crandall,@,UNBSJ,1,1,0,11,14,0.44,0,14,7,0.667,0,4,9,25,1.68,0.64,0,0,12,4,1,17,1.65,0,11,1,26,0.385,0,1,1,2,0,10,26,0,7,0,1,3,0,0,1
2023-2024,2024-01-14,Crandall,@,UNBSJ,2,1,0,3,18,0.143,0,18,7,0.72,0,1,8,21,1.38,0.619,0,7,9,3,0,19,2.21,0,10,5,20,0.25,0,1,0,1,0,10,20,0,3,0,3,1,0,0,0
2023-2024,2024-01-14,Crandall,@,UNBSJ,3,1,0,7,16,0.304,0,15,9,0.625,0,2,3,23,1.7,0.87,0,6,9,3,1,19,2.05,0,8,9,33,-0.03,0,0,0,0,0,7,32,0,14,0,6,5,0,0,0
2023-2024,2024-01-14,Crandall,@,UNBSJ,4,1,0,1,6,0.143,0,6,19,0.24,0,0,2,7,1.71,0.714,0,1,6,6,7,20,1.05,0,2,4,14,-0.143,0,0,0,0,0,2,14,0,5,0,4,2,0,0,3
2023-2024,2024-01-14,Crandall,@,UNBSJ,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-01-14,UNBSJ,vs.,Crandall,1,1,0,7,14,0.333,0,14,11,0.56,0,1,4,21,1.9,0.81,0,2,6,4,4,16,1.38,0,9,4,22,0.227,0,0,0,0,0,9,21,0,12,0,4,1,0,0,1
2023-2024,2024-01-14,UNBSJ,vs.,Crandall,2,1,0,7,18,0.28,0,18,3,0.857,0,0,6,25,1.36,0.76,0,1,9,2,1,13,1.77,0,12,4,19,0.421,0,1,0,1,0,11,17,0,5,0,1,3,0,0,0
2023-2024,2024-01-14,UNBSJ,vs.,Crandall,3,1,0,9,15,0.375,0,16,7,0.696,0,1,5,24,1.54,0.792,0,6,10,2,2,20,2,0,11,7,35,0.114,0,0,3,3,0,11,32,0,14,0,5,5,0,0,0
2023-2024,2024-01-14,UNBSJ,vs.,Crandall,4,1,0,19,6,0.76,0,6,1,0.857,0,7,5,25,2.36,0.8,0,0,3,2,0,5,1.6,0,8,0,14,0.571,0,0,2,2,0,7,14,0,7,0,2,3,0,0,0
2023-2024,2024-01-14,UNBSJ,vs.,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-01-20,Crandall,@,STU,1,1,0,1,6,0.143,0,6,19,0.24,0,0,3,7,1,0.571,0,8,2,6,6,22,1.55,0,4,9,24,-0.208,0,0,0,0,0,4,23,0,7,0,3,2,0,0,0
2023-2024,2024-01-20,Crandall,@,STU,2,1,0,6,12,0.333,0,11,13,0.458,0,2,6,18,1.56,0.667,0,6,2,11,2,21,1.57,0,7,8,25,-0.04,0,0,2,2,0,7,24,0,9,0,4,2,0,0,4
2023-2024,2024-01-20,Crandall,@,STU,3,1,0,5,13,0.278,0,13,12,0.52,0,3,6,18,1.39,0.667,0,11,1,4,2,18,2.17,0,6,6,22,0,0,0,0,0,0,6,22,0,7,0,1,1,0,0,2
2023-2024,2024-01-20,Crandall,@,STU,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-01-20,Crandall,@,STU,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-01-20,STU,vs.,Crandall,1,1,0,19,6,0.76,0,6,1,0.857,0,6,3,25,2.16,0.88,0,2,1,1,0,4,2.25,0,7,0,17,0.412,0,3,0,3,0,6,15,0,8,0,3,1,0,0,0
2023-2024,2024-01-20,STU,vs.,Crandall,2,1,0,13,11,0.542,0,12,6,0.667,0,2,3,24,2.13,0.875,0,4,2,4,2,12,1.67,0,4,5,19,-0.053,0,4,0,4,0,4,17,0,7,0,3,1,0,0,0
2023-2024,2024-01-20,STU,vs.,Crandall,3,1,0,12,13,0.48,0,13,5,0.722,0,2,7,25,1.32,0.72,0,7,0,2,3,12,1.92,0,8,2,17,0.353,0,3,0,3,0,8,17,0,8,0,1,0,0,0,0
2023-2024,2024-01-20,STU,vs.,Crandall,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-01-20,STU,vs.,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-01-27,Crandall,vs.,STU,1,1,0,6,13,0.316,0,12,12,0.5,0,2,7,19,1.47,0.632,0,9,4,1,3,17,2.12,0,6,5,16,0.063,0,1,0,1,0,6,16,0,4,0,1,0,0,0,1
2023-2024,2024-01-27,Crandall,vs.,STU,2,1,0,7,14,0.333,0,15,12,0.556,0,2,7,21,1.38,0.667,0,11,7,3,2,23,2.17,0,10,8,34,0.059,0,0,1,1,0,9,33,0,8,0,3,3,0,0,0
2023-2024,2024-01-27,Crandall,vs.,STU,3,1,0,9,10,0.474,0,9,15,0.375,0,4,4,19,2.11,0.789,0,4,3,8,4,19,1.37,0,4,5,19,-0.053,0,0,1,1,0,4,19,0,7,0,5,2,0,0,2
2023-2024,2024-01-27,Crandall,vs.,STU,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-01-27,Crandall,vs.,STU,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2024-01-27,STU,@,Crandall,1,1,0,12,12,0.5,0,13,6,0.684,0,3,7,24,1.33,0.708,0,3,4,3,2,12,1.67,0,9,3,17,0.353,0,0,1,1,0,9,16,0,5,0,0,0,0,0,0
