CU @ USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,24,54,30.8%,0,53,44,54.6%,0,4,16,78,1.55,79.5%,0,29,17,17,13,76,1.82,0,30,15,97,0.155,0,3,0,3,0,28,95,0,28,0,12,8,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,12,12,50.0%,0,13,11,54.2%,0,0,3,24,1.5,87.5%,0,9,8,1,4,22,2,0,13,4,30,0.3,0,2,0,2,0,11,28,0,11,0,3,2,0,0,1
2,1,0,4,15,21.1%,0,14,10,58.3%,0,2,3,19,1.63,84.2%,0,4,3,6,3,16,1.5,0,6,2,15,0.267,0,0,0,0,0,6,15,0,2,0,3,1,0,0,0
3,1,0,3,14,17.6%,0,14,11,56.0%,0,0,5,17,1.24,70.6%,0,9,3,4,4,20,1.85,0,7,4,26,0.115,0,0,0,0,0,7,26,0,4,0,2,4,0,0,1
4,1,0,5,13,27.8%,0,12,12,50.0%,0,2,5,18,1.83,72.2%,0,7,3,6,2,18,1.83,0,4,5,26,- 0.038,0,1,0,1,0,4,26,0,11,0,4,1,0,0,1
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
