CU @ DAL AC — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,43,30,58.9%,0,32,14,69.6%,0,12,8,73,2.19,89.0%,0,17,9,5,4,35,2.11,0,32,16,66,0.242,0,3,7,10,0,28,59,0,28,0,4,6,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,12,12,50.0%,0,13,6,68.4%,0,6,4,24,2.13,83.3%,0,10,2,3,1,16,2.31,0,11,5,23,0.261,0,1,3,4,0,11,23,0,11,0,0,0,0,0,3
2,1,0,18,7,72.0%,0,7,3,70.0%,0,5,2,25,2.32,92.0%,0,1,4,0,1,6,1.83,0,9,4,14,0.357,0,1,1,2,0,7,12,0,6,0,2,3,0,0,0
3,1,0,13,11,54.2%,0,12,5,70.6%,0,1,2,24,2.13,91.7%,0,6,3,2,2,13,2,0,12,7,29,0.172,0,1,3,4,0,10,24,0,11,0,2,3,0,0,1
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
