CU vs USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,41,55,42.7%,0,56,27,67.5%,0,7,20,96,1.54,79.2%,0,20,21,12,11,64,1.78,0,43,13,95,0.316,0,0,13,13,0,42,94,0,38,0,10,9,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,6,16,27.3%,0,16,9,64.0%,0,2,9,22,1.14,59.1%,0,5,7,4,3,19,1.74,0,8,4,17,0.235,0,0,1,1,0,8,17,0,3,0,4,1,0,0,0
2,1,0,12,13,48.0%,0,13,5,72.2%,0,1,4,25,1.68,84.0%,0,3,4,1,4,12,1.5,0,13,2,22,0.5,0,0,2,2,0,13,22,0,12,0,1,3,0,0,1
3,1,0,12,12,50.0%,0,13,8,61.9%,0,2,2,24,1.75,91.7%,0,4,7,3,3,17,1.71,0,8,5,26,0.115,0,0,6,6,0,7,25,0,10,0,1,1,0,0,1
4,1,0,11,14,44.0%,0,14,5,73.7%,0,2,5,25,1.56,80.0%,0,8,3,4,1,16,2.13,0,14,2,30,0.4,0,0,4,4,0,14,30,0,13,0,4,4,0,0,1
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
