CU vs Holland College — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,16,45,26.2%,0,44,30,59.5%,0,4,9,61,1.33,85.2%,0,29,7,8,9,53,2.06,0,24,20,72,0.056,0,1,0,1,0,23,69,0,24,0,7,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,2,16,11.1%,0,16,9,64.0%,0,1,4,18,1.17,77.8%,0,12,2,0,3,17,2.35,0,8,8,24,0,0,0,0,0,0,8,23,0,9,0,2,1,0,0,0
2,1,0,6,16,27.3%,0,15,9,62.5%,0,1,4,22,1.18,81.8%,0,9,1,4,3,17,1.94,0,8,3,21,0.238,0,0,0,0,0,8,20,0,6,0,3,1,0,0,0
3,1,0,8,13,38.1%,0,13,12,52.0%,0,2,1,21,1.62,95.2%,0,8,4,4,3,19,1.89,0,8,9,27,- 0.037,0,1,0,1,0,7,26,0,9,0,2,2,0,0,0
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
