CU @ STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,12,37,24.5%,0,35,38,47.9%,0,3,12,49,1.65,75.5%,0,20,7,15,9,51,1.75,0,16,11,54,0.093,0,0,0,0,0,15,52,0,22,0,11,3,0,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,3,16,15.8%,0,15,9,62.5%,0,1,6,19,1.32,68.4%,0,4,1,8,1,14,1.57,0,4,2,20,0.1,0,0,0,0,0,3,18,0,11,0,5,0,0,0,1
2,1,0,6,10,37.5%,0,10,15,40.0%,0,1,3,16,1.88,81.3%,0,7,4,3,5,19,1.68,0,7,3,16,0.25,0,0,0,0,0,7,16,0,6,0,3,1,0,1,1
3,1,0,3,11,21.4%,0,10,14,41.7%,0,1,3,14,1.86,78.6%,0,9,2,4,3,18,1.94,0,5,6,18,- 0.056,0,0,0,0,0,5,18,0,5,0,3,2,0,0,1
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
