CU vs STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,36,43,45.6%,0,45,30,60.0%,0,9,20,79,1.59,74.7%,0,23,20,7,11,61,1.9,0,36,21,86,0.174,0,3,4,7,0,35,82,0,23,0,3,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,11,13,45.8%,0,14,10,58.3%,0,3,6,24,1.58,75.0%,0,8,5,1,4,18,1.94,0,11,5,24,0.25,0,0,1,1,0,10,22,0,5,0,2,2,0,0,0
2,1,0,14,17,45.2%,0,17,12,58.6%,0,3,8,31,1.65,74.2%,0,10,9,4,3,26,2,0,14,12,38,0.053,0,2,2,4,0,14,38,0,10,0,1,5,0,0,0
3,1,0,11,13,45.8%,0,14,8,63.6%,0,3,6,24,1.54,75.0%,0,5,6,2,4,17,1.71,0,11,4,24,0.292,0,1,1,2,0,11,22,0,8,0,0,1,0,0,0
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
