CU @ DAL AC — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
8,"Unknown , DA",1,2,0,0,0,1,2,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,-,0,-,0
15,"Unknown , DA",1,3,0,1,2,9,1.56,77.8%,0,1,2,3,2,8,1.25,0,0,1,2,- 0.500,0,0,1,1,0,0,0,0,0,0,2,-,0,-,0
9,"Unknown , DA",1,3,0,0,0,4,1.25,100.0%,0,0,0,0,2,2,0,0,0,1,2,- 0.500,0,0,0,0,0,14,34,0,3,0,2,-,0,-,2
11,"Unknown , DA",1,3,0,0,1,7,1.57,85.7%,0,2,0,2,1,5,1.6,0,3,1,6,0.333,0,0,0,0,0,0,1,0,4,0,4,-,0,-,0
3,"Unknown , DA",1,3,0,0,2,5,0.6,60.0%,0,9,5,4,0,18,2.28,0,7,5,17,0.118,0,0,1,1,0,1,6,0,2,0,1,-,0,-,0
14,"Unknown , DA",1,3,0,0,2,4,1.25,50.0%,0,9,5,7,3,24,1.83,0,4,5,11,- 0.091,0,0,0,0,0,0,1,0,1,0,6,-,0,-,0
1,"Unknown , DA",1,1,0,0,0,1,1,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
7,"Unknown , DA",1,3,0,0,1,2,0.5,50.0%,0,0,0,0,3,3,0,0,2,2,7,0,0,0,0,0,0,0,1,0,0,0,0,-,0,-,0
