CU @ USTA — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
5,"Unknown , UST",1,4,0,0,1,11,1.82,90.9%,0,0,0,0,0,0,-,0,8,5,17,0.176,0,1,2,3,0,2,3,0,1,0,0,-,0,-,0
3,"Unknown , UST",1,4,0,0,0,0,-,-,0,4,0,1,0,5,2.6,0,0,0,0,-,0,0,0,0,0,2,5,0,8,0,3,-,0,-,0
2,"Unknown , UST",1,4,0,2,2,19,1.68,89.5%,0,3,8,6,0,17,1.82,0,8,2,14,0.429,0,0,2,2,0,0,2,0,4,0,4,-,0,-,0
14,"Unknown , UST",1,1,0,1,1,3,1.67,66.7%,0,0,0,0,0,0,-,0,0,1,3,- 0.333,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
24,"Unknown , UST",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
13,"Unknown , UST",1,3,0,4,5,16,2.19,68.8%,0,0,0,0,0,0,-,0,5,2,8,0.375,0,1,2,3,0,0,1,0,2,0,0,-,0,-,0
11,"Unknown , UST",1,1,0,2,0,4,2.5,100.0%,0,0,0,0,0,0,-,0,0,2,6,- 0.333,0,0,1,1,0,0,0,0,2,0,0,-,0,-,0
10,"Unknown , UST",1,4,0,0,3,14,1.21,78.6%,0,2,2,0,0,4,2.5,0,23,5,36,0.5,0,0,1,1,0,1,3,0,7,0,4,-,0,-,1
20,"Unknown , UST",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
9,"Unknown , UST",1,3,0,2,6,14,1.43,57.1%,0,8,3,4,1,16,2.13,0,4,1,10,0.3,0,0,0,0,0,2,3,0,8,0,1,-,0,-,0
8,"Unknown , UST",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,1,1,0,0,0,0,-,0,-,0
7,"Unknown , UST",1,4,0,0,0,0,-,-,0,8,6,3,2,19,2.05,0,0,0,0,-,0,0,0,0,0,1,3,0,2,0,0,-,0,-,0
6,"Unknown , UST",1,4,0,2,3,16,1.69,81.3%,0,0,0,0,0,0,-,0,0,0,4,0,0,0,0,0,0,39,76,0,6,0,1,-,0,-,0
