CU vs USTA — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
14,Francois Benoit,1,4,0,3,5,18,1.72,72.2%,0,10,6,5,2,23,2.04,0,9,3,21,0.286,0,0,0,0,0,1,4,0,3,0,3,-,0,-,0
8,Shane Huggard,1,4,0,4,1,16,2.06,93.8%,0,15,6,8,1,30,2.17,0,6,8,28,- 0.071,0,0,0,0,0,1,6,0,5,0,1,-,0,-,1
18,Kyle Barnes,1,4,0,0,3,10,1.6,70.0%,0,1,1,0,0,2,2.5,0,3,2,6,0.167,0,0,2,2,0,1,2,0,1,0,1,-,0,-,0
7,Jack Hillier,1,1,0,0,0,2,1,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
13,Cole Wilson,1,2,0,0,0,1,2,100.0%,0,2,0,0,0,2,3,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
5,Austin Trites,1,4,0,0,0,0,-,-,0,7,4,4,2,17,1.94,0,0,1,2,- 0.500,0,0,0,0,0,3,10,0,12,0,2,-,0,-,1
12,Noah MacDonald,1,4,0,0,2,8,1.38,75.0%,0,0,0,0,0,0,-,0,2,1,10,0.1,0,0,1,1,0,0,4,0,2,0,2,-,0,-,0
10,Liam Rafferty,1,4,0,2,7,14,1.43,50.0%,0,0,0,0,0,0,-,0,11,5,29,0.207,0,0,2,2,0,0,2,0,6,0,1,-,0,-,0
19,Evan King,1,4,0,2,1,14,1.93,92.9%,0,0,0,0,0,0,-,0,2,0,5,0.4,0,0,3,3,0,24,67,0,2,0,3,-,0,-,2
