CU vs Holland College — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
15,"Unknown , HC",1,1,0,0,0,1,3,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
1,"Unknown , HC",1,3,0,0,1,7,1.14,85.7%,0,0,0,0,0,0,-,0,1,0,1,1,0,0,0,0,0,16,34,0,4,0,1,-,0,-,0
4,"Unknown , HC",1,3,0,0,0,0,-,-,0,15,0,2,3,20,2.35,0,0,0,0,-,0,0,0,0,0,0,4,0,5,0,0,-,0,-,0
5,"Unknown , HC",1,3,0,1,2,13,1.38,84.6%,0,14,4,3,0,21,2.52,0,9,1,16,0.5,0,1,1,2,0,2,3,0,5,0,2,-,0,-,0
6,"Unknown , HC",1,3,0,2,7,12,1.08,41.7%,0,7,1,1,1,10,2.4,0,6,4,24,0.083,0,0,1,1,0,0,0,0,3,0,2,-,0,-,0
7,"Unknown , HC",1,3,0,1,3,13,1.62,76.9%,0,0,0,0,0,0,-,0,5,1,7,0.571,0,0,3,3,0,0,1,0,3,0,0,-,0,-,0
8,"Unknown , HC",1,3,0,0,2,12,1.08,83.3%,0,1,0,0,0,1,3,0,9,1,14,0.571,0,0,2,2,0,0,1,0,3,0,3,-,0,-,0
11,"Unknown , HC",1,3,0,2,4,6,1.33,33.3%,0,0,0,0,0,0,-,0,5,1,12,0.333,0,0,1,1,0,0,1,0,1,0,2,-,0,-,0
13,"Unknown , HC",1,3,0,3,2,10,1.9,80.0%,0,0,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,14,28,0,0,0,1,-,0,-,0
