CU vs Holland College — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
14,"Unknown , HOL",1,2,0,1,1,4,2,75.0%,0,4,1,1,2,8,1.88,0,0,6,7,- 0.857,0,0,0,0,0,0,1,0,3,0,0,-,0,-,0
16,"Unknown , HOL",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
19,"Unknown , HOL",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,0,0,-,0,-,0
1,"Unknown , HOL",1,4,0,2,2,20,1.7,90.0%,0,0,0,0,0,0,-,0,0,0,4,0,0,0,0,0,0,20,46,0,8,0,2,-,0,-,2
2,"Unknown , HOL",1,1,0,0,0,2,1,100.0%,0,0,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-,0,-,0
3,"Unknown , HOL",1,5,0,0,0,0,-,-,0,10,5,4,0,19,2.32,0,0,0,0,-,0,0,0,0,0,1,7,0,9,0,1,-,0,-,2
5,"Unknown , HOL",1,5,0,0,0,14,1.64,100.0%,0,19,8,5,1,33,2.36,0,12,4,26,0.308,0,0,2,2,0,0,5,0,11,0,3,-,0,-,0
6,"Unknown , HOL",1,3,0,1,1,14,1.79,92.9%,0,4,4,2,1,11,2,0,9,6,26,0.115,0,0,1,1,0,1,2,0,5,0,0,-,0,-,0
7,"Unknown , HOL",1,4,0,1,3,13,1.46,76.9%,0,0,0,0,0,0,-,0,2,1,6,0.167,0,0,1,1,0,0,2,0,1,0,0,-,0,-,1
8,"Unknown , HOL",1,4,0,0,0,2,1.5,100.0%,0,2,0,0,0,2,3,0,3,5,10,- 0.200,0,0,1,1,0,1,2,0,2,0,0,-,0,-,0
9,"Unknown , HOL",1,4,0,3,5,10,1.6,50.0%,0,0,0,0,0,0,-,0,4,4,12,0,0,0,3,3,0,2,2,0,0,0,0,-,0,-,0
10,"Unknown , HOL",1,4,0,1,3,9,1.33,66.7%,0,0,0,0,0,0,-,0,8,6,21,0.095,0,0,0,0,0,1,3,0,2,0,0,-,0,-,1
11,"Unknown , HOL",1,3,0,0,2,10,1.4,80.0%,0,0,0,0,0,0,-,0,4,2,9,0.222,0,0,0,0,0,0,3,0,1,0,3,-,0,-,0
12,"Unknown , HOL",1,1,0,0,1,1,0,0.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,1,2,0,0,0,0,-,0,-,0
13,"Unknown , HOL",1,4,0,2,2,12,1.67,83.3%,0,0,0,0,0,0,-,0,0,0,2,0,0,0,0,0,0,15,44,0,5,0,1,-,0,-,0
