CU @ dalac — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,29,31,48.3%,0,32,28,53.3%,0,6,9,59,1.64,84.7%,0,25,9,17,1,52,2.12,0,24,22,85,0.024,0,2,7,9,0,22,80,0,28,0,8,8,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,4,6,40.0%,0,6,6,50.0%,0,1,1,10,1.9,90.0%,0,6,0,5,0,11,2.09,0,5,7,26,- 0.077,0,0,1,1,0,4,25,0,11,0,2,4,0,0,0
2,1,0,13,12,52.0%,0,13,12,52.0%,0,2,3,25,1.48,88.0%,0,9,3,8,1,21,1.95,0,7,8,30,- 0.033,0,0,5,5,0,7,29,0,10,0,5,2,0,0,1
3,1,0,12,13,48.0%,0,13,10,56.5%,0,3,5,24,1.71,79.2%,0,10,6,4,0,20,2.3,0,12,7,29,0.172,0,2,1,3,0,11,26,0,7,0,1,2,0,0,2
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
