CU @ STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,38,35,52.1%,0,37,12,75.5%,0,9,22,73,1.58,69.9%,0,12,9,13,3,37,1.81,0,37,4,69,0.478,0,2,2,4,0,32,64,0,27,0,3,4,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,9,15,37.5%,0,16,3,84.2%,0,1,10,24,1.42,58.3%,0,6,3,3,1,13,2.08,0,14,3,30,0.367,0,0,1,1,0,11,27,0,14,0,0,1,0,0,0
2,1,0,15,10,60.0%,0,10,6,62.5%,0,5,6,25,1.76,76.0%,0,3,4,5,1,13,1.69,0,12,0,19,0.632,0,0,1,1,0,11,18,0,6,0,1,2,0,0,2
3,1,0,14,10,58.3%,0,11,3,78.6%,0,3,6,24,1.54,75.0%,0,3,2,5,1,11,1.64,0,11,1,20,0.5,0,2,0,2,0,10,19,0,7,0,2,1,0,0,0
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
