CU @ STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,28,41,40.6%,0,40,32,55.6%,0,2,14,69,1.72,79.7%,0,27,12,15,7,61,1.97,0,36,18,84,0.214,0,3,1,4,0,34,79,0,30,0,16,8,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,8,13,38.1%,0,12,12,50.0%,0,1,4,21,1.43,81.0%,0,6,4,7,2,19,1.74,0,10,8,34,0.059,0,1,0,1,0,10,33,0,15,0,7,5,0,0,0
2,1,0,8,15,34.8%,0,15,10,60.0%,0,0,6,23,1.57,73.9%,0,11,3,3,3,20,2.1,0,11,4,22,0.318,0,0,0,0,0,11,22,0,9,0,5,1,0,0,0
3,1,0,12,13,48.0%,0,13,10,56.5%,0,1,4,25,2.12,84.0%,0,10,5,5,2,22,2.05,0,15,6,28,0.321,0,2,1,3,0,13,24,0,6,0,4,2,0,1,1
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
