CU @ dalac — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,28,32,46.7%,0,31,29,51.7%,0,1,8,60,1.63,86.7%,0,24,11,9,6,50,2.06,0,21,20,76,0.013,0,2,4,6,0,20,73,0,33,0,13,4,0,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,6,6,50.0%,0,6,4,60.0%,0,0,1,12,1.75,91.7%,0,3,3,2,1,9,1.89,0,3,2,18,0.056,0,0,2,2,0,3,17,0,12,0,5,1,0,0,1
2,1,0,12,13,48.0%,0,12,13,48.0%,0,1,4,25,1.72,84.0%,0,12,7,1,2,22,2.32,0,10,12,34,- 0.059,0,0,2,2,0,10,33,0,12,0,3,3,0,0,1
3,1,0,10,13,43.5%,0,13,12,52.0%,0,0,3,23,1.48,87.0%,0,9,1,6,3,19,1.84,0,8,6,24,0.083,0,2,0,2,0,7,23,0,9,0,5,0,0,1,0
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
