CU @ STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,16,36,30.8%,0,34,39,46.6%,0,2,12,52,1.54,76.9%,0,16,11,18,11,56,1.57,0,13,19,56,- 0.107,0,1,9,10,0,12,54,0,13,0,10,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,4,10,28.6%,0,9,15,37.5%,0,1,5,14,1.43,64.3%,0,6,6,6,3,21,1.71,0,3,8,18,- 0.278,0,0,2,2,0,2,16,0,2,0,4,0,0,0,0
2,1,0,4,13,23.5%,0,13,12,52.0%,0,0,3,17,1.65,82.4%,0,6,3,5,4,18,1.61,0,5,7,22,- 0.091,0,0,3,3,0,5,22,0,7,0,4,2,0,0,1
3,1,0,8,13,38.1%,0,12,12,50.0%,0,1,4,21,1.52,81.0%,0,4,2,7,4,17,1.35,0,5,4,16,0.063,0,1,4,5,0,5,16,0,4,0,2,1,0,0,1
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
