CU @ USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,20,41,32.8%,0,40,34,54.1%,0,4,10,61,1.48,83.6%,0,30,11,3,7,51,2.25,0,20,20,74,0,0,0,3,3,0,20,74,0,19,0,7,10,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,7,16,30.4%,0,16,9,64.0%,0,2,4,23,1.48,82.6%,0,10,4,1,0,15,2.6,0,6,9,27,- 0.111,0,0,2,2,0,6,27,0,7,0,0,3,0,0,0
2,1,0,7,10,41.2%,0,9,15,37.5%,0,1,4,17,1.29,76.5%,0,8,4,1,4,17,1.94,0,4,3,18,0.056,0,0,0,0,0,4,18,0,4,0,3,2,0,0,0
3,1,0,6,15,28.6%,0,15,10,60.0%,0,1,2,21,1.62,90.5%,0,12,3,1,3,19,2.26,0,10,8,29,0.069,0,0,1,1,0,10,29,0,8,0,4,5,0,0,0
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
