CU @ STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,32,40,44.4%,0,41,28,59.4%,0,7,11,72,1.72,84.7%,0,17,14,22,2,55,1.84,0,31,13,80,0.225,0,2,0,2,0,24,71,0,23,0,16,8,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,12,12,50.0%,0,13,8,61.9%,0,2,5,24,1.79,79.2%,0,9,4,3,1,17,2.24,0,11,3,33,0.242,0,2,0,2,0,9,30,0,11,0,6,5,0,0,0
2,1,0,10,15,40.0%,0,15,8,65.2%,0,3,5,25,1.52,80.0%,0,6,3,8,0,17,1.88,0,12,4,26,0.308,0,0,0,0,0,8,21,0,6,0,3,1,0,0,1
3,1,0,10,13,43.5%,0,13,12,52.0%,0,2,1,23,1.87,95.7%,0,2,7,11,1,21,1.48,0,8,6,21,0.095,0,0,0,0,0,7,20,0,6,0,7,2,0,0,1
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
