CU @ UNBSJ — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,42,50,45.7%,0,51,31,62.2%,0,11,14,92,1.61,84.8%,0,23,28,12,9,72,1.9,0,48,19,97,0.299,0,3,2,5,0,48,96,0,34,0,13,7,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,13,12,52.0%,0,12,4,75.0%,0,3,1,25,1.72,96.0%,0,4,7,1,3,15,1.8,0,14,1,19,0.684,0,1,0,1,0,14,19,0,7,0,2,1,0,0,0
2,1,0,8,10,44.4%,0,10,15,40.0%,0,2,3,18,1.33,83.3%,0,5,7,3,6,21,1.52,0,9,7,24,0.083,0,1,0,1,0,9,24,0,8,0,1,2,0,0,1
3,1,0,11,14,44.0%,0,14,5,73.7%,0,2,5,25,1.6,80.0%,0,5,9,3,0,17,2.12,0,15,6,29,0.31,0,1,2,3,0,15,28,0,13,0,5,3,0,0,0
4,1,0,10,14,41.7%,0,15,7,68.2%,0,4,5,24,1.71,79.2%,0,9,5,5,0,19,2.21,0,10,5,25,0.2,0,0,0,0,0,10,25,0,6,0,5,1,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
