CU @ DAL AC — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,14,32,30.4%,0,30,43,41.1%,0,4,11,46,1.43,76.1%,0,16,15,22,12,65,1.54,0,11,17,58,- 0.103,0,1,3,4,0,9,56,0,16,0,15,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,6,13,31.6%,0,12,12,50.0%,0,1,3,19,1.42,84.2%,0,6,3,5,6,20,1.45,0,5,5,21,0,0,1,1,2,0,4,20,0,7,0,1,0,0,0,0
2,1,0,3,7,30.0%,0,7,18,28.0%,0,1,4,10,1.3,60.0%,0,6,4,8,5,23,1.48,0,2,5,13,- 0.231,0,0,1,1,0,2,13,0,1,0,6,1,0,0,1
3,1,0,5,12,29.4%,0,11,13,45.8%,0,2,4,17,1.53,76.5%,0,4,8,9,1,22,1.68,0,4,7,24,- 0.125,0,0,1,1,0,3,23,0,8,0,8,1,0,0,0
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
