CU @ dalac — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,"Unknown , DAL",1,3,0,3,3,13,1.77,76.9%,0,0,0,0,0,0,-,0,0,1,3,- 0.333,0,0,1,1,0,21,67,0,5,0,2,-,0,-,1
11,"Unknown , DAL",1,3,0,0,0,8,1.5,100.0%,0,5,2,0,0,7,2.71,0,2,2,8,0,0,0,3,3,0,0,3,0,5,0,0,-,0,-,0
3,"Unknown , DAL",1,3,0,1,3,8,1.25,62.5%,0,9,4,5,0,18,2.22,0,5,10,23,- 0.217,0,0,4,4,0,1,7,0,5,0,1,-,0,-,1
14,"Unknown , DAL",1,3,0,1,1,8,1.88,87.5%,0,11,2,9,1,23,2,0,7,5,27,0.074,0,0,2,2,0,0,1,0,6,0,2,-,0,-,1
8,"Unknown , DAL",1,3,0,1,1,11,1.82,90.9%,0,0,0,0,0,0,-,0,3,3,11,0,0,2,0,2,0,0,2,0,4,0,0,-,0,-,0
7,"Unknown , DAL",1,3,0,0,1,11,1.55,90.9%,0,0,1,3,0,4,1.25,0,7,1,13,0.462,0,0,4,4,0,0,0,0,3,0,3,-,0,-,0
