CU vs dalac  — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
11,Unknown Athlete,1,4,0,1,1,17,2.24,94.1%,0,3,7,4,1,15,1.8,0,4,4,14,0,0,0,1,1,0,0,2,0,5,0,3,-,0,-,0
1,Unknown Athlete,1,4,0,3,1,15,2.27,93.3%,0,0,1,0,0,1,2,0,4,0,7,0.571,0,0,1,1,0,31,80,0,13,0,0,-,0,-,2
3,Unknown Athlete,1,4,0,0,5,15,1.53,66.7%,0,4,13,6,2,25,1.76,0,15,7,36,0.222,0,1,0,1,0,4,12,0,8,0,4,-,0,-,0
14,Unknown Athlete,1,4,0,2,3,14,1.79,78.6%,0,4,16,3,5,28,1.68,0,12,4,27,0.296,0,1,0,1,0,4,10,0,7,0,1,-,0,-,0
15,Unknown Athlete,1,3,0,1,3,9,1.67,66.7%,0,0,1,1,0,2,1.5,0,1,1,9,0,0,0,0,0,0,0,4,0,5,0,2,-,0,-,0
7,Unknown Athlete,1,4,0,1,1,11,2,90.9%,0,0,3,2,1,6,1.33,0,2,0,11,0.182,0,0,0,0,0,0,1,0,0,0,1,-,0,-,0
8,Unknown Athlete,1,1,0,0,1,2,1,50.0%,0,0,0,0,0,0,-,0,2,1,7,0.143,0,0,0,0,0,0,0,0,3,0,2,-,0,-,0
