CU vs DAL AC — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
8,"Unknown , DAL",1,2,0,1,1,7,1.29,85.7%,0,0,0,0,0,0,-,0,0,1,4,- 0.250,0,0,0,0,0,0,0,0,2,0,0,-,0,-,0
7,"Unknown , DAL",1,4,0,2,4,19,1.47,78.9%,0,0,3,1,1,5,1.4,0,3,7,14,- 0.286,0,0,2,2,0,0,1,0,6,0,0,-,0,-,0
3,"Unknown , DAL",1,5,0,0,5,11,0.91,54.5%,0,19,3,13,3,38,2,0,11,9,29,0.069,0,1,2,3,0,0,6,0,6,0,4,-,0,-,0
1,"Unknown , DAL",1,5,0,0,5,15,1,66.7%,0,0,0,0,0,0,-,0,0,2,4,- 0.500,0,0,0,0,0,28,86,0,6,0,7,-,0,-,1
16,"Unknown , DAL",1,1,0,0,1,5,1.6,80.0%,0,0,0,0,0,0,-,0,0,1,2,- 0.500,0,0,0,0,0,0,1,0,0,0,0,-,0,-,0
15,"Unknown , DAL",1,4,0,1,3,14,1.43,78.6%,0,2,1,2,2,7,1.43,0,3,1,9,0.222,0,1,3,4,0,2,3,0,3,0,2,-,0,-,0
14,"Unknown , DAL",1,5,0,4,5,15,1.53,66.7%,0,15,3,9,2,29,2.07,0,7,9,31,- 0.065,0,0,0,0,0,0,4,0,11,0,10,-,0,-,0
12,"Unknown , DAL",1,2,0,0,2,5,1,60.0%,0,0,0,1,0,1,1,0,3,0,5,0.6,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
11,"Unknown , DAL",1,4,0,0,1,7,1.14,85.7%,0,3,0,3,0,6,2,0,5,1,9,0.444,0,0,1,1,0,0,0,0,2,0,4,-,0,-,0
