Date,Opponent,Result,0,Set 1,Set 2,Set 3,Set 4,Set 5,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
Feb 15,@ USTA,L 1-3,0,25 - 23,18 - 25,17 - 25,17 - 25,-,0,24,54,30.8%,0,53,44,54.6%,0,4,16,78,1.55,79.5%,0,29,17,17,13,76,1.82,0,30,15,97,0.155,0,3,0,3,0,28,95,0,28,0,12,8,0,0,3
Feb 14,@ USTA,L 0-3,0,23 - 25,16 - 25,21 - 25,-,-,0,20,41,32.8%,0,40,34,54.1%,0,4,10,61,1.48,83.6%,0,30,11,3,7,51,2.25,0,20,20,74,0,0,0,3,3,0,20,74,0,19,0,7,10,0,0,0
Feb 9,@ DAL AC,L 1-2,0,22 - 25,24 - 26,23 - 25,-,-,0,28,32,46.7%,0,31,29,51.7%,0,1,8,60,1.63,86.7%,0,24,11,9,6,50,2.06,0,21,20,76,0.013,0,2,4,6,0,20,73,0,33,0,13,4,0,1,2
Feb 8,vs DAL AC ,W 3-1,0,25 - 18,18 - 25,25 - 18,25 - 21,-,0,48,44,52.2%,0,45,38,54.2%,0,15,9,92,2.18,90.2%,0,7,45,8,8,68,1.75,0,42,19,106,0.217,0,1,6,7,0,39,101,0,44,0,8,7,0,0,6
Jan 29,vs Holland College,L 0-3,0,18 - 25,21 - 25,21 - 25,-,-,0,16,45,26.2%,0,44,30,59.5%,0,4,9,61,1.33,85.2%,0,29,7,8,9,53,2.06,0,24,20,72,0.056,0,1,0,1,0,23,69,0,24,0,7,4,0,0,0
Jan 25,vs Holland College,W 3-1,0,26 - 24,25 - 17,26 - 28,25 - 16,-,0,44,57,43.6%,0,58,28,67.4%,0,8,19,101,1.64,81.2%,0,40,23,8,3,74,2.35,0,44,21,107,0.215,0,1,7,8,0,42,101,0,29,0,13,7,0,2,3
Jan 19,vs STU,L 0-3,0,23 - 25,29 - 31,21 - 25,-,-,0,30,45,40.0%,0,43,36,54.4%,0,11,14,75,1.71,81.3%,0,24,12,14,9,59,1.86,0,21,19,72,0.028,0,0,6,6,0,21,72,0,25,0,12,3,0,1,2
Jan 18,vs STU,L 0-3,0,14 - 25,17 - 25,17 - 25,-,-,0,14,36,28.0%,0,34,39,46.6%,0,5,10,50,1.68,80.0%,0,23,12,13,11,59,1.8,0,14,13,61,0.016,0,1,5,6,0,14,60,0,30,0,17,2,0,1,7
Jan 12,vs UNBSJ ,W 3-1,0,22 - 19,23 - 25,25 - 17,25 - 18,-,0,37,58,38.9%,0,58,21,73.4%,0,7,13,95,1.72,86.3%,0,38,10,10,5,63,2.29,0,51,14,103,0.359,0,1,0,1,0,47,95,0,44,0,11,2,0,0,2
Jan 11,@ UNBSJ ,L 0-3,0,28 - 30,25 - 27,17 - 25,-,-,0,23,48,32.4%,0,47,34,58.0%,0,4,9,71,1.56,87.3%,0,18,24,13,9,64,1.8,0,29,16,76,0.171,0,5,0,5,0,28,73,0,28,0,15,4,0,1,3
Nov 24,@ STU,L 0-3,0,13 - 25,17 - 25,20 - 25,-,-,0,16,36,30.8%,0,34,39,46.6%,0,2,12,52,1.54,76.9%,0,16,11,18,11,56,1.57,0,13,19,56,- 0.107,0,1,9,10,0,12,54,0,13,0,10,3,0,0,2
Nov 23,@ STU,L 0-3,0,18 - 25,16 - 25,13 - 25,-,-,0,12,37,24.5%,0,35,38,47.9%,0,3,12,49,1.65,75.5%,0,20,7,15,9,51,1.75,0,16,11,54,0.093,0,0,0,0,0,15,52,0,22,0,11,3,0,1,3
Nov 17,vs UNBSJ,L 2-3,0,27 - 25,21 - 25,25 - 22,15 - 25,12 - 15,0,35,65,35.0%,0,65,47,58.0%,0,14,20,100,1.6,80.0%,0,44,26,15,8,93,2.14,0,43,25,114,0.158,0,1,6,7,0,43,111,0,34,0,15,4,0,0,5
Nov 15,@ UNBSJ,L 1-3,0,16 - 25,25 - 18,19 - 25,21 - 25,-,0,31,51,37.8%,0,50,42,54.3%,0,9,10,82,1.84,87.8%,0,41,18,8,11,78,2.14,0,38,19,96,0.198,0,2,0,2,0,35,89,0,22,0,8,8,0,0,4
Nov 10,vs USTA,L 1-3,0,25 - 22,18 - 25,20 - 25,19 - 25,-,0,27,56,32.5%,0,55,41,57.3%,0,11,19,83,1.71,77.1%,0,35,17,17,7,76,2.05,0,33,20,101,0.129,0,0,4,4,0,30,95,0,32,0,13,3,0,1,4
Nov 9,vs USTA,L 0-3,0,22 - 25,23 - 25,15 - 25,-,-,0,18,43,29.5%,0,42,32,56.8%,0,4,11,61,1.44,82.0%,0,35,1,13,6,55,2.18,0,28,12,62,0.258,0,0,4,4,0,24,56,0,13,0,10,2,0,0,3
Nov 3,vs DAL AC,W 3-0,0,25 - 17,25 - 11,25 - 23,-,-,0,40,33,54.8%,0,35,18,66.0%,0,11,9,73,2.16,87.7%,0,13,15,7,3,38,2,0,30,11,66,0.288,0,1,2,3,0,30,65,0,27,0,4,6,0,1,3
Nov 1,@ DAL AC,W 3-0,0,23 - 13,25 - 7,25 - 11,-,-,0,49,22,69.0%,0,24,9,72.7%,0,17,5,71,2.27,93.0%,0,14,6,4,1,25,2.32,0,30,6,46,0.522,0,0,3,3,0,23,38,0,11,0,2,7,0,1,1
Oct 27,@ Holland College,L 0-3,0,17 - 25,22 - 25,12 - 25,-,-,0,16,37,30.2%,0,35,38,47.9%,0,3,10,53,1.42,81.1%,0,23,12,11,13,59,1.76,0,17,12,58,0.086,0,1,2,3,0,17,58,0,20,0,12,4,0,0,5
Oct 25,@ Holland College,L 2-3,0,15 - 25,25 - 22,25 - 21,18 - 25,8 - 15,0,31,60,34.1%,0,60,48,55.6%,0,1,17,91,1.33,81.3%,0,60,12,19,5,96,2.32,0,47,27,137,0.146,0,5,1,6,0,45,129,0,38,0,14,5,0,1,1
Oct 20,@ DAL AC,W 3-0,0,25 - 18,25 - 10,25 - 16,-,-,0,43,30,58.9%,0,32,14,69.6%,0,12,8,73,2.19,89.0%,0,17,9,5,4,35,2.11,0,32,16,66,0.242,0,3,7,10,0,28,59,0,28,0,4,6,0,0,4
Oct 20,@ UNBSJ,L 1-2,0,25 - 17,23 - 25,23 - 25,-,-,0,30,41,42.3%,0,41,26,61.2%,0,6,13,71,1.66,81.7%,0,31,7,17,3,58,2.14,0,32,20,102,0.118,0,1,3,4,0,29,95,0,34,0,6,10,0,0,3
Oct 20,@ STU,L 1-2,0,20 - 25,23 - 25,25 - 23,-,-,0,28,41,40.6%,0,40,32,55.6%,0,2,14,69,1.72,79.7%,0,27,12,15,7,61,1.97,0,36,18,84,0.214,0,3,1,4,0,34,79,0,30,0,16,8,0,1,1
Oct 12,vs Reds 18U,L 2-3,0,15 - 25,26 - 28,26 - 24,21 - 25,15 - 7,0,45,59,43.3%,0,58,50,53.7%,0,15,23,104,1.65,77.9%,0,42,7,27,12,88,1.9,0,37,21,108,0.148,0,2,7,9,0,36,104,0,42,0,27,10,0,0,6
Sep 29,vs Holland College,L 0-5,0,23 - 25,16 - 26,20 - 25,20 - 24,12 - 15,0,33,60,35.5%,0,58,55,51.3%,0,7,16,93,1.77,82.8%,0,30,25,17,19,91,1.73,0,40,28,104,0.115,0,4,5,9,0,39,99,0,45,0,23,4,0,0,1
Sep 29,vs Holland College,L 1-4,0,25 - 21,17 - 25,21 - 25,24 - 26,12 - 15,0,41,59,41.0%,0,58,53,52.3%,0,4,27,100,1.27,73.0%,0,47,14,19,11,91,2.07,0,34,26,115,0.07,0,4,4,8,0,34,110,0,42,0,19,4,0,0,4
Sep 28,vs DAL AC,W 4-1,0,25 - 19,25 - 16,25 - 19,16 - 25,19 - 17,0,53,55,49.1%,0,57,41,58.2%,0,11,19,108,1.76,82.4%,0,42,11,10,8,71,2.23,0,32,30,102,0.02,0,3,7,10,0,30,98,0,35,0,19,14,0,0,2
