CU @ DAL AC — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,14,32,30.4%,0,30,43,41.1%,0,4,11,46,1.43,76.1%,0,16,15,22,12,65,1.54,0,11,17,58,- 0.103,0,1,3,4,0,9,56,0,16,0,15,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,5,6,45.5%,0,5,8,38.5%,0,1,2,11,1.45,81.8%,0,3,3,5,2,13,1.54,0,1,3,7,- 0.286,0,1,0,1,0,1,7,0,1,0,5,0,0,0,0
2,1,0,2,5,28.6%,0,5,5,50.0%,0,0,3,7,1.57,57.1%,0,1,0,2,3,6,0.83,0,2,2,6,0,0,0,2,2,0,1,5,0,2,0,0,0,0,0,0
3,1,0,3,5,37.5%,0,5,4,55.6%,0,0,2,8,1.13,75.0%,0,4,0,2,3,9,1.56,0,4,0,9,0.444,0,0,0,0,0,4,9,0,3,0,1,1,0,0,0
4,1,0,0,5,0.0%,0,5,11,31.3%,0,0,1,5,1.2,80.0%,0,2,8,4,1,15,1.73,0,1,4,16,- 0.188,0,0,0,0,0,1,16,0,5,0,4,0,0,0,0
5,1,0,1,5,16.7%,0,4,10,28.6%,0,1,2,6,1.33,66.7%,0,1,2,6,3,12,1.08,0,1,4,8,- 0.375,0,0,0,0,0,1,8,0,3,0,3,0,0,0,1
6,1,0,3,6,33.3%,0,6,5,54.5%,0,2,1,9,1.78,88.9%,0,5,2,3,0,10,2.2,0,2,4,12,- 0.167,0,0,1,1,0,1,11,0,2,0,2,1,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
