CU vs DAL AC — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,53,55,49.1%,0,57,41,58.2%,0,11,19,108,1.76,82.4%,0,42,11,10,8,71,2.23,0,32,30,102,0.02,0,3,7,10,0,30,98,0,35,0,19,14,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,19,10,65.5%,0,12,4,75.0%,0,3,3,29,1.86,89.7%,0,6,3,1,0,10,2.5,0,9,2,23,0.304,0,2,2,4,0,9,21,0,6,0,2,5,0,0,0
2,1,0,7,9,43.8%,0,9,6,60.0%,0,3,4,16,1.81,75.0%,0,5,1,0,4,10,1.7,0,3,3,11,0,0,1,0,1,0,3,11,0,4,0,1,1,0,0,1
3,1,0,5,9,35.7%,0,9,5,64.3%,0,0,4,14,1.21,71.4%,0,8,2,2,0,12,2.5,0,6,4,17,0.118,0,0,1,1,0,6,17,0,7,0,5,2,0,0,0
4,1,0,7,9,43.8%,0,9,13,40.9%,0,2,2,16,1.75,87.5%,0,11,3,1,3,18,2.22,0,4,9,20,- 0.250,0,0,1,1,0,3,20,0,6,0,4,1,0,0,0
5,1,0,4,9,30.8%,0,9,4,69.2%,0,0,3,13,1.46,76.9%,0,4,0,3,0,7,2.14,0,3,4,9,- 0.111,0,0,3,3,0,2,8,0,2,0,2,2,0,0,1
6,1,0,11,9,55.0%,0,9,9,50.0%,0,3,3,20,2.15,85.0%,0,8,2,3,1,14,2.21,0,7,8,22,- 0.045,0,0,0,0,0,7,21,0,10,0,5,3,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
