CU vs USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,32,42,43.2%,0,43,18,70.5%,0,6,19,74,1.35,74.3%,0,32,2,12,4,50,2.24,0,42,9,70,0.471,0,2,4,6,0,41,68,0,17,0,7,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
3,1,0,4,8,33.3%,0,8,8,50.0%,0,0,3,12,0.92,75.0%,0,7,2,5,2,16,1.88,0,7,3,16,0.25,0,0,2,2,0,7,16,0,2,0,3,2,0,0,0
1,1,0,12,8,60.0%,0,9,2,81.8%,0,2,2,20,1.7,90.0%,0,8,0,1,0,9,2.78,0,12,2,22,0.455,0,0,2,2,0,11,21,0,8,0,1,1,0,0,0
2,1,0,4,8,33.3%,0,8,4,66.7%,0,1,3,12,1.33,75.0%,0,4,0,3,1,8,1.88,0,4,3,7,0.143,0,0,0,0,0,4,7,0,1,0,1,0,0,0,0
5,1,0,2,6,25.0%,0,6,3,66.7%,0,0,5,8,0.75,37.5%,0,5,0,1,1,7,2.29,0,6,1,8,0.625,0,0,0,0,0,6,7,0,1,0,1,1,0,0,0
4,1,0,8,6,57.1%,0,6,0,100.0%,0,2,3,14,1.64,78.6%,0,4,0,1,0,5,2.6,0,8,0,9,0.889,0,2,0,2,0,8,9,0,4,0,1,1,0,0,0
6,1,0,2,6,25.0%,0,6,1,85.7%,0,1,3,8,1.25,62.5%,0,4,0,1,0,5,2.6,0,5,0,8,0.625,0,0,0,0,0,5,8,0,1,0,0,1,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
