CU @ DAL AC — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,49,22,69.0%,0,24,9,72.7%,0,17,5,71,2.27,93.0%,0,14,6,4,1,25,2.32,0,30,6,46,0.522,0,0,3,3,0,23,38,0,11,0,2,7,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,4,3,57.1%,0,5,1,83.3%,0,0,1,7,1.86,85.7%,0,1,2,1,0,4,2,0,4,0,5,0.8,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0
2,1,0,15,5,75.0%,0,5,0,100.0%,0,7,1,20,2.75,95.0%,0,3,0,0,0,3,3,0,7,0,8,0.875,0,0,1,1,0,5,6,0,1,0,0,2,0,0,0
3,1,0,11,5,68.8%,0,5,2,71.4%,0,3,1,16,2.06,93.8%,0,2,1,2,0,5,2,0,6,0,9,0.667,0,0,0,0,0,6,9,0,4,0,0,2,0,1,1
4,1,0,1,3,25.0%,0,3,1,75.0%,0,0,0,4,1.5,100.0%,0,3,0,1,0,4,2.5,0,4,1,6,0.5,0,0,0,0,0,2,4,0,1,0,1,0,0,0,0
5,1,0,17,3,85.0%,0,3,0,100.0%,0,6,2,20,2.25,90.0%,0,0,1,0,0,1,2,0,6,0,7,0.857,0,0,2,2,0,4,4,0,2,0,0,1,0,0,0
6,1,0,1,3,25.0%,0,3,5,37.5%,0,1,0,4,2.25,100.0%,0,5,2,0,1,8,2.38,0,3,5,11,- 0.182,0,0,0,0,0,3,11,0,3,0,1,2,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
