CU vs Holland College — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,55,58,48.7%,0,60,33,64.5%,0,19,22,113,1.83,80.5%,0,22,29,19,7,77,1.86,0,48,20,124,0.226,0,2,5,7,0,45,120,0,34,0,8,15,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,11,10,52.4%,0,12,7,63.2%,0,4,4,21,1.9,81.0%,0,6,7,1,2,16,2.06,0,9,3,20,0.3,0,0,2,2,0,9,20,0,6,0,2,0,0,0,0
2,1,0,9,12,42.9%,0,12,6,66.7%,0,2,7,21,1.52,66.7%,0,4,6,7,0,17,1.82,0,13,5,39,0.205,0,1,1,2,0,12,38,0,14,0,2,5,0,0,0
3,1,0,8,11,42.1%,0,11,5,68.8%,0,3,3,19,1.95,84.2%,0,3,4,2,1,10,1.9,0,7,3,17,0.235,0,0,0,0,0,6,15,0,3,0,0,3,0,0,1
4,1,0,12,9,57.1%,0,9,5,64.3%,0,5,2,21,2.1,90.5%,0,2,5,2,2,11,1.64,0,7,3,16,0.25,0,0,2,2,0,6,15,0,5,0,2,2,0,0,0
5,1,0,6,8,42.9%,0,8,8,50.0%,0,2,3,14,1.57,78.6%,0,4,4,5,2,15,1.67,0,5,5,17,0,0,0,0,0,0,5,17,0,3,0,1,1,0,0,0
6,1,0,9,8,52.9%,0,8,2,80.0%,0,3,3,17,1.88,82.4%,0,3,3,2,0,8,2.13,0,7,1,15,0.4,0,1,0,1,0,7,15,0,3,0,1,4,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
