CU @ Holland College — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,16,37,30.2%,0,35,38,47.9%,0,3,10,53,1.42,81.1%,0,23,12,11,13,59,1.76,0,17,12,58,0.086,0,1,2,3,0,17,58,0,20,0,12,4,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,2,5,28.6%,0,6,4,60.0%,0,0,3,7,0.86,57.1%,0,6,1,2,1,10,2.2,0,5,2,7,0.429,0,1,1,2,0,5,7,0,0,0,2,0,0,0,0
2,1,0,3,6,33.3%,0,6,4,60.0%,0,0,1,9,1.33,88.9%,0,2,2,2,1,7,1.71,0,4,2,10,0.2,0,0,0,0,0,4,10,0,6,0,2,0,0,0,1
3,1,0,3,7,30.0%,0,7,2,77.8%,0,1,2,10,1.5,80.0%,0,3,1,1,1,6,2,0,5,1,6,0.667,0,0,1,1,0,5,6,0,1,0,0,0,0,0,0
4,1,0,3,7,30.0%,0,6,6,50.0%,0,0,1,10,1.8,90.0%,0,4,4,1,0,9,2.33,0,3,3,15,0,0,0,0,0,0,3,15,0,7,0,4,1,0,0,1
5,1,0,5,6,45.5%,0,6,11,35.3%,0,2,2,11,1.64,81.8%,0,6,0,1,5,12,1.58,0,0,3,10,- 0.300,0,0,0,0,0,0,10,0,3,0,1,1,0,0,1
6,1,0,0,6,0.0%,0,4,11,26.7%,0,0,1,6,1,83.3%,0,2,4,4,5,15,1.2,0,0,1,10,- 0.100,0,0,0,0,0,0,10,0,3,0,3,2,0,0,2
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
