CU vs Holland College — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,33,60,35.5%,0,58,55,51.3%,0,7,16,93,1.77,82.8%,0,30,25,17,19,91,1.73,0,40,28,104,0.115,0,4,5,9,0,39,99,0,45,0,23,4,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,2,10,16.7%,0,12,10,54.5%,0,0,1,12,1.67,91.7%,0,5,6,2,2,15,1.93,0,6,4,21,0.095,0,0,0,0,0,6,20,0,9,0,5,2,0,0,0
2,1,0,8,12,40.0%,0,12,6,66.7%,0,2,3,20,1.65,85.0%,0,4,4,2,2,12,1.83,0,7,3,15,0.267,0,1,1,2,0,7,15,0,9,0,4,0,0,0,0
3,1,0,5,12,29.4%,0,10,11,47.6%,0,0,4,17,1.59,76.5%,0,8,2,6,3,19,1.79,0,8,6,22,0.091,0,1,1,2,0,8,19,0,9,0,5,0,0,0,1
4,1,0,8,10,44.4%,0,8,11,42.1%,0,2,5,18,1.83,72.2%,0,4,5,2,6,17,1.41,0,6,5,16,0.063,0,1,2,3,0,6,16,0,7,0,3,1,0,0,0
5,1,0,5,8,38.5%,0,8,5,61.5%,0,1,1,13,1.85,92.3%,0,5,1,1,3,10,1.8,0,5,4,9,0.111,0,1,1,2,0,5,9,0,4,0,2,0,0,0,0
6,1,0,5,8,38.5%,0,8,12,40.0%,0,2,2,13,2.15,84.6%,0,4,7,4,3,18,1.67,0,8,6,21,0.095,0,0,0,0,0,7,20,0,7,0,4,1,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
