CU @ STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,38,35,52.1%,0,37,12,75.5%,0,9,22,73,1.58,69.9%,0,12,9,13,3,37,1.81,0,37,4,69,0.478,0,2,2,4,0,32,64,0,27,0,3,4,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
3,1,0,9,7,56.3%,0,7,6,53.8%,0,2,4,16,1.63,75.0%,0,4,2,5,1,12,1.75,0,8,2,23,0.261,0,0,0,0,0,7,21,0,9,0,1,0,0,0,1
2,1,0,1,5,16.7%,0,7,2,77.8%,0,1,2,6,1.5,66.7%,0,2,4,1,1,8,1.88,0,6,0,8,0.75,0,0,0,0,0,6,8,0,1,0,0,0,0,0,0
4,1,0,6,7,46.2%,0,7,3,70.0%,0,2,5,13,1.31,61.5%,0,1,1,3,0,5,1.6,0,4,1,9,0.333,0,0,1,1,0,4,9,0,5,0,1,1,0,0,1
1,1,0,3,5,37.5%,0,5,0,100.0%,0,1,3,8,1.5,62.5%,0,1,1,2,0,4,1.75,0,6,0,8,0.75,0,0,0,0,0,5,7,0,3,0,0,0,0,0,0
5,1,0,9,6,60.0%,0,6,1,85.7%,0,2,5,15,1.4,66.7%,0,1,0,2,1,4,1.25,0,4,1,6,0.5,0,0,0,0,0,4,6,0,3,0,0,0,0,0,0
6,1,0,10,5,66.7%,0,5,0,100.0%,0,1,3,15,2,80.0%,0,3,1,0,0,4,2.75,0,9,0,15,0.6,0,2,1,3,0,6,13,0,6,0,1,3,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
