CU @ UNBSJ — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,31,51,37.8%,0,50,42,54.3%,0,9,10,82,1.84,87.8%,0,41,18,8,11,78,2.14,0,38,19,96,0.198,0,2,0,2,0,35,89,0,22,0,8,8,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,2,9,18.2%,0,10,11,47.6%,0,0,0,11,1.64,100.0%,0,8,4,0,5,17,1.88,0,5,3,14,0.143,0,1,0,1,0,4,12,0,1,0,0,0,0,0,2
3,1,0,10,10,50.0%,0,8,6,57.1%,0,1,1,20,1.7,95.0%,0,10,2,0,2,14,2.43,0,12,3,21,0.429,0,1,0,1,0,11,19,0,8,0,1,0,0,0,1
6,1,0,5,7,41.7%,0,7,9,43.8%,0,1,3,12,1.92,75.0%,0,6,4,3,1,14,2.07,0,3,3,20,0,0,0,0,0,0,2,19,0,6,0,3,2,0,0,0
2,1,0,9,10,47.4%,0,10,7,58.8%,0,2,3,19,1.95,84.2%,0,5,3,2,2,12,1.92,0,7,6,19,0.053,0,0,0,0,0,7,17,0,6,0,2,5,0,0,1
4,1,0,2,8,20.0%,0,8,5,61.5%,0,2,1,10,2,90.0%,0,7,3,1,1,12,2.33,0,6,2,12,0.333,0,0,0,0,0,6,12,0,0,0,1,1,0,0,0
5,1,0,3,7,30.0%,0,7,4,63.6%,0,3,2,10,1.9,80.0%,0,5,2,2,0,9,2.33,0,5,2,10,0.3,0,0,0,0,0,5,10,0,1,0,1,0,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
