CU @ STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,28,41,40.6%,0,40,32,55.6%,0,2,14,69,1.72,79.7%,0,27,12,15,7,61,1.97,0,36,18,84,0.214,0,3,1,4,0,34,79,0,30,0,16,8,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,12,8,60.0%,0,8,1,88.9%,0,1,2,20,1.9,90.0%,0,2,3,2,0,7,2,0,9,3,17,0.353,0,1,0,1,0,8,16,0,8,0,2,2,0,0,0
2,1,0,2,7,22.2%,0,7,5,58.3%,0,0,4,9,0.89,55.6%,0,4,1,3,1,9,1.89,0,4,3,14,0.071,0,1,0,1,0,4,13,0,5,0,3,3,0,0,0
3,1,0,3,7,30.0%,0,7,9,43.8%,0,0,3,10,1.3,70.0%,0,4,4,5,2,15,1.67,0,8,5,15,0.2,0,0,0,0,0,8,15,0,3,0,3,1,0,0,0
4,1,0,0,7,0.0%,0,6,7,46.2%,0,0,1,7,1.43,85.7%,0,5,3,4,0,12,2.08,0,3,2,9,0.111,0,0,0,0,0,3,9,0,1,0,5,0,0,0,0
5,1,0,8,6,57.1%,0,6,6,50.0%,0,0,1,14,2.5,92.9%,0,7,1,0,2,10,2.3,0,7,3,18,0.222,0,1,1,2,0,6,15,0,9,0,2,1,0,0,1
6,1,0,3,6,33.3%,0,6,4,60.0%,0,1,3,9,1.67,66.7%,0,5,0,1,2,8,2,0,5,2,11,0.273,0,0,0,0,0,5,11,0,4,0,1,1,0,1,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
