CU vs DAL AC — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,41,57,41.8%,0,55,53,50.9%,0,8,27,98,1.29,72.4%,0,39,10,29,11,89,1.87,0,32,31,107,0.009,0,2,4,6,0,30,101,0,36,0,27,8,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,10,11,47.6%,0,11,10,52.4%,0,1,6,21,1.33,71.4%,0,5,4,8,0,17,1.82,0,7,7,22,0,0,0,0,0,0,6,20,0,5,0,7,2,0,0,0
2,1,0,2,10,16.7%,0,9,6,60.0%,0,1,4,12,1.08,66.7%,0,5,0,3,3,11,1.64,0,4,4,13,0,0,0,1,1,0,4,13,0,4,0,2,3,0,0,0
3,1,0,8,9,47.1%,0,9,6,60.0%,0,3,5,17,1.53,70.6%,0,5,2,3,1,11,2,0,5,3,14,0.143,0,1,0,1,0,4,13,0,4,0,3,0,0,0,0
4,1,0,10,9,52.6%,0,9,5,64.3%,0,3,2,19,1.63,89.5%,0,6,2,3,1,12,2.08,0,6,6,16,0,0,0,2,2,0,6,16,0,7,0,3,1,0,0,0
5,1,0,8,9,47.1%,0,9,7,56.3%,0,0,6,17,0.94,64.7%,0,5,1,6,1,13,1.77,0,5,4,16,0.063,0,0,1,1,0,5,14,0,5,0,4,1,0,0,0
6,1,0,3,9,25.0%,0,8,19,29.6%,0,0,4,12,1,66.7%,0,13,1,6,5,25,1.88,0,5,7,26,- 0.077,0,1,0,1,0,5,25,0,11,0,8,1,0,1,1
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
