CU vs USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,18,43,29.5%,0,42,32,56.8%,0,4,11,61,1.44,82.0%,0,35,1,13,6,55,2.18,0,28,12,62,0.258,0,0,4,4,0,24,56,0,13,0,10,2,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,1,7,12.5%,0,8,11,42.1%,0,0,1,8,1.13,87.5%,0,10,0,5,1,16,2.19,0,6,4,18,0.111,0,0,0,0,0,5,16,0,5,0,4,0,0,0,1
2,1,0,3,8,27.3%,0,8,2,80.0%,0,0,4,11,1,63.6%,0,6,0,0,1,7,2.57,0,4,1,9,0.333,0,0,2,2,0,4,8,0,0,0,0,0,0,0,0
3,1,0,5,8,38.5%,0,8,4,66.7%,0,1,2,13,1.69,84.6%,0,9,0,1,0,10,2.8,0,7,2,11,0.455,0,0,1,1,0,6,10,0,1,0,2,1,0,0,1
4,1,0,6,8,42.9%,0,6,9,40.0%,0,2,1,14,1.93,92.9%,0,3,1,3,2,9,1.56,0,3,4,11,- 0.091,0,0,0,0,0,2,10,0,5,0,2,1,0,0,1
5,1,0,2,6,25.0%,0,6,1,85.7%,0,1,2,8,1.38,75.0%,0,2,0,2,0,4,2,0,3,0,5,0.6,0,0,1,1,0,3,5,0,1,0,1,0,0,0,0
6,1,0,1,6,14.3%,0,6,5,54.5%,0,0,1,7,1.14,85.7%,0,5,0,2,2,9,1.89,0,5,1,8,0.5,0,0,0,0,0,4,7,0,1,0,1,0,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
