CU @ Holland College — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,48,60,44.4%,0,60,31,65.9%,0,5,12,108,1.49,88.9%,0,46,11,15,2,74,2.36,0,56,30,133,0.195,0,3,6,9,0,52,129,0,52,0,11,9,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,12,11,52.2%,0,13,7,65.0%,0,1,2,23,1.39,91.3%,0,10,2,3,0,15,2.47,0,10,8,27,0.074,0,0,3,3,0,10,27,0,14,0,2,0,0,0,0
2,1,0,9,11,45.0%,0,11,5,68.8%,0,1,4,20,1.2,80.0%,0,9,1,3,0,13,2.46,0,10,3,22,0.318,0,1,1,2,0,9,21,0,4,0,1,3,0,0,0
3,1,0,8,11,42.1%,0,10,6,62.5%,0,1,5,19,1.58,73.7%,0,9,2,2,0,13,2.54,0,12,7,26,0.192,0,1,1,2,0,10,24,0,8,0,2,3,0,0,0
4,1,0,9,10,47.4%,0,9,2,81.8%,0,1,0,19,1.53,100.0%,0,6,1,1,0,8,2.63,0,9,5,20,0.2,0,1,1,2,0,9,20,0,12,0,3,2,0,0,0
5,1,0,6,9,40.0%,0,9,7,56.3%,0,0,0,15,1.73,100.0%,0,7,4,3,0,14,2.29,0,7,3,17,0.235,0,0,0,0,0,7,17,0,5,0,2,0,0,0,0
6,1,0,4,8,33.3%,0,8,4,66.7%,0,1,1,12,1.67,91.7%,0,5,1,3,2,11,1.82,0,8,4,21,0.19,0,0,0,0,0,7,20,0,9,0,1,1,0,0,1
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
