CU @ STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,16,36,30.8%,0,34,39,46.6%,0,2,12,52,1.54,76.9%,0,16,11,18,11,56,1.57,0,13,19,56,- 0.107,0,1,9,10,0,12,54,0,13,0,10,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2,1,0,5,6,45.5%,0,6,10,37.5%,0,1,4,11,1.82,63.6%,0,1,3,7,3,14,1.14,0,4,3,12,0.083,0,0,2,2,0,4,12,0,2,0,2,0,0,0,0
3,1,0,2,6,25.0%,0,5,9,35.7%,0,1,5,8,0.75,37.5%,0,4,2,3,2,11,1.73,0,1,4,10,- 0.300,0,1,0,1,0,1,9,0,3,0,3,0,0,0,0
5,1,0,2,5,28.6%,0,6,7,46.2%,0,0,1,7,1.29,85.7%,0,3,2,3,2,10,1.6,0,2,4,10,- 0.200,0,0,2,2,0,1,9,0,3,0,2,0,0,0,0
6,1,0,3,8,27.3%,0,6,7,46.2%,0,0,0,11,1.55,100.0%,0,4,1,3,1,9,1.89,0,1,4,12,- 0.250,0,0,2,2,0,1,12,0,2,0,2,1,0,0,0
1,1,0,3,6,33.3%,0,6,4,60.0%,0,0,1,9,1.89,88.9%,0,2,2,2,2,8,1.5,0,3,2,8,0.125,0,0,2,2,0,3,8,0,2,0,1,1,0,0,1
4,1,0,1,5,16.7%,0,5,2,71.4%,0,0,1,6,1.83,83.3%,0,2,1,0,1,4,2,0,2,2,4,0,0,0,1,1,0,2,4,0,1,0,0,1,0,0,1
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
