CU @ USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,44,53,45.4%,0,54,24,69.2%,0,13,21,97,1.71,78.4%,0,25,19,14,4,62,2.05,0,50,18,100,0.32,0,2,4,6,0,48,97,0,40,0,13,9,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,7,9,43.8%,0,8,7,53.3%,0,1,1,16,1.63,93.8%,0,2,5,3,1,11,1.73,0,7,3,19,0.211,0,0,0,0,0,7,19,0,10,0,2,1,0,0,1
2,1,0,6,8,42.9%,0,10,5,66.7%,0,1,2,14,1.79,85.7%,0,6,3,3,1,13,2.08,0,9,4,22,0.227,0,0,1,1,0,9,21,0,8,0,2,1,0,0,0
3,1,0,7,9,43.8%,0,9,2,81.8%,0,2,3,16,1.75,81.3%,0,5,2,1,1,9,2.22,0,6,1,12,0.417,0,0,1,1,0,6,12,0,5,0,2,1,0,0,0
4,1,0,9,9,50.0%,0,9,1,90.0%,0,4,6,18,1.67,66.7%,0,4,1,3,0,8,2.13,0,9,0,13,0.692,0,1,1,2,0,8,12,0,2,0,0,2,0,0,0
5,1,0,12,9,57.1%,0,9,2,81.8%,0,4,5,21,2,76.2%,0,3,2,2,1,8,1.88,0,12,2,18,0.556,0,0,0,0,0,11,17,0,9,0,2,2,0,0,0
6,1,0,3,9,25.0%,0,9,7,56.3%,0,1,4,12,1.25,66.7%,0,5,6,2,0,13,2.23,0,7,8,16,- 0.063,0,1,1,2,0,7,16,0,6,0,5,2,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
