CU @ STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,32,40,44.4%,0,41,28,59.4%,0,7,11,72,1.72,84.7%,0,17,14,22,2,55,1.84,0,31,13,80,0.225,0,2,0,2,0,24,71,0,23,0,16,8,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,0,7,0.0%,0,9,11,45.0%,0,0,2,7,1.29,71.4%,0,6,5,4,1,16,2,0,4,5,17,- 0.059,0,0,0,0,0,4,16,0,2,0,4,0,0,0,1
2,1,0,1,8,11.1%,0,7,1,87.5%,0,0,2,9,1.33,77.8%,0,2,1,1,0,4,2.25,0,2,1,5,0.2,0,2,0,2,0,2,5,0,2,0,1,0,0,0,0
3,1,0,8,7,53.3%,0,7,2,77.8%,0,2,3,15,2.07,80.0%,0,4,2,2,0,8,2.25,0,8,0,14,0.571,0,0,0,0,0,6,11,0,5,0,4,2,0,0,0
4,1,0,8,6,57.1%,0,6,2,75.0%,0,1,0,14,1.86,100.0%,0,2,1,3,0,6,1.83,0,6,2,9,0.444,0,0,0,0,0,5,8,0,1,0,0,1,0,0,0
5,1,0,6,6,50.0%,0,6,6,50.0%,0,0,2,12,1.67,83.3%,0,0,3,8,0,11,1.27,0,9,3,23,0.261,0,0,0,0,0,6,20,0,8,0,5,4,0,0,0
6,1,0,9,6,60.0%,0,6,6,50.0%,0,4,2,15,1.73,86.7%,0,3,2,4,1,10,1.7,0,2,2,12,0,0,0,0,0,0,1,11,0,5,0,2,1,0,0,1
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
