CU @ USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,20,41,32.8%,0,40,34,54.1%,0,4,10,61,1.48,83.6%,0,30,11,3,7,51,2.25,0,20,20,74,0,0,0,3,3,0,20,74,0,19,0,7,10,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,6,6,50.0%,0,8,3,72.7%,0,1,0,12,1.67,100.0%,0,6,0,0,0,6,3,0,6,2,11,0.364,0,0,1,1,0,6,11,0,5,0,2,1,0,0,0
2,1,0,5,8,38.5%,0,8,9,47.1%,0,2,3,13,1.23,76.9%,0,8,4,0,2,14,2.29,0,4,4,15,0,0,0,0,0,0,4,15,0,1,0,1,3,0,0,0
3,1,0,3,8,27.3%,0,8,8,50.0%,0,0,0,11,1.55,100.0%,0,7,4,0,0,11,2.64,0,4,7,22,- 0.136,0,0,1,1,0,4,22,0,8,0,1,3,0,0,0
4,1,0,3,8,27.3%,0,6,3,66.7%,0,0,3,11,1.73,72.7%,0,1,1,2,1,5,1.4,0,2,1,5,0.2,0,0,1,1,0,2,5,0,2,0,2,0,0,0,0
5,1,0,2,6,25.0%,0,5,8,38.5%,0,0,2,8,1.25,75.0%,0,5,1,1,3,10,1.8,0,2,5,13,- 0.231,0,0,0,0,0,2,13,0,3,0,1,3,0,0,0
6,1,0,1,5,16.7%,0,5,3,62.5%,0,1,2,6,1.33,66.7%,0,3,1,0,1,5,2.2,0,2,1,8,0.125,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
